,ticker_1,ticker_2,correlation,p1_stationary,p2_stationary,p_cointegration1,p_cointegration2,p_coint_avg,p_coint_min,p_coint_max
25,THETA-USD,FIL-USD,0.9133439031011407,0.1492778838825759,0.12961118856112314,0.03392546224727381,0.014847096611684204,0.024386279429479005,0.014847096611684204,0.03392546224727381
26,FIL-USD,APT-USD,0.9114515105392906,2.516060928808858e-07,1.8665378638223977e-05,,,,,
27,CAKE-USD,XMR-USD,0.9107412538110772,0.24406290499693856,0.05516944996101578,0.3639016772683693,0.17863410752579284,0.27126789239708105,0.17863410752579284,0.3639016772683693
28,BTT-USD,THETA-USD,0.9096519234399418,0.17488704924471832,0.1492778838825759,0.0006353642756937024,0.001271793607879277,0.0009535789417864898,0.0006353642756937024,0.001271793607879277
29,NEO-USD,LTC-USD,0.9055360957003534,0.06934641433337502,0.2103245670274247,0.06276007287415651,0.16205328676170322,0.11240667981792987,0.06276007287415651,0.16205328676170322
30,CAKE-USD,THETA-USD,0.9054086650665002,0.24406290499693856,0.169921144011617,8.309885368746964e-07,4.822826952358525e-07,6.566356160552744e-07,4.822826952358525e-07,8.309885368746964e-07
31,NEO-USD,THETA-USD,0.9046533951781853,0.06934641433337502,0.1492778838825759,5.511594520184777e-11,2.9335458653143994e-10,1.7423526586664386e-10,5.511594520184777e-11,2.9335458653143994e-10
32,FLOW-USD,TON-USD,0.9042024719149119,0.27525229090413883,0.377210345684798,0.0002443192690161409,0.00016655044411197157,0.00020543485656405623,0.00016655044411197157,0.0002443192690161409
33,VET-USD,LTC-USD,0.9039437310823113,0.043741794496021606,0.2103245670274247,,,,,
34,THETA-USD,TON-USD,0.9024392069841642,0.1663691161160754,0.20338224358772516,4.896581423929481e-05,1.3493412623153635e-05,3.122961343122422e-05,1.3493412623153635e-05,4.896581423929481e-05
35,ENS-USD,POL-USD,0.9022377040950895,0.054455084304478624,0.4954024399548695,0.11518004126322967,0.628598756578356,0.3718893989207928,0.11518004126322967,0.628598756578356
36,NEO-USD,BTT-USD,0.901516729664046,0.06934641433337502,0.17488704924471832,1.356660394570925e-05,2.8348460736691844e-05,2.0957532341200546e-05,1.356660394570925e-05,2.8348460736691844e-05
37,FLOW-USD,BSV-USD,0.9014666288330426,0.27525229090413883,0.1513382578288806,0.00024076092345418128,4.664622990429866e-05,0.00014370357667923997,4.664622990429866e-05,0.00024076092345418128
38,STX-USD,DOT-USD,0.9014659248835689,0.5604551315905351,0.33815806469182674,0.012292358003634618,0.006390615071207617,0.009341486537421118,0.006390615071207617,0.012292358003634618
39,CAKE-USD,POL-USD,0.9013947026152077,0.0029479945423003984,0.4957827565824214,,,,,
40,FLOW-USD,FORM-USD,0.9005792774027581,0.07233417146955726,0.020504263514043896,,,,,
41,FORM-USD,ICP-USD,0.8995933213286726,0.020504263514043896,0.19044309259992814,,,,,
42,FORM-USD,POL-USD,0.8994480193117318,1.1371956924436719e-11,0.4957827565824214,,,,,
43,AAVE-USD,LINK-USD,0.8994106378641121,0.20165320520486646,0.27142023354197653,0.08515999039610417,0.08732189798808743,0.0862409441920958,0.08515999039610417,0.08732189798808743
44,HBAR-USD,ADA-USD,0.8983955646416728,0.3947652426586486,0.24845350157836088,0.0009231376278497229,0.000883176620603759,0.000903157124226741,0.000883176620603759,0.0009231376278497229
