Date,RSI,MACD,MACD_Signal,MACD_Hist,ATR,TEMA,EMA4_Crossover_up,EMA4_Crossover_down,SKDJ_K,SKDJ_D,relative_strength_EMA_4_9,predicted,actual
2024-08-02,50.798394058570054,1.2991843967480179,2.9426969692449862,-1.6435125724969684,5.404179054357958,217.84041500606543,False,True,24.203190944058726,24.579605131511723,1.0029349677960293,0.00780423803259092,False
2024-08-05,38.02288813046053,0.2781325173773155,2.409784078871452,-2.1316515614941367,6.716742949075663,217.2422601994115,False,True,37.422454661014086,26.055673432001026,1.001433699206895,0.007592118448870273,False
2024-08-06,36.13747556769282,-0.687196912549382,1.7903878805872855,-2.4775847931366677,6.871984101795982,216.55152359915965,False,True,32.607424209545684,31.411023271539474,0.9966095321348317,0.007732571841833659,True
2024-08-07,40.19232413878716,-1.2297586124179531,1.1863585819862377,-2.416117194404191,6.897250606491655,216.0718890121171,False,True,43.486533589084615,37.83880415321477,0.9985718371322535,0.008564215016239761,False
2024-08-08,45.2379211792332,-1.3633580545991038,0.6764152546691693,-2.039773309268273,6.786876082766171,215.8476041883137,False,True,54.46821233904436,43.520723379224854,0.998369710764379,0.009985653750071592,False
2024-08-09,49.11893743415326,-1.2195417702846783,0.29722384967839977,-1.5167656199630781,6.644519644548319,215.82619011391645,False,True,65.41699201673447,54.45724598162112,1.0002022620291262,0.011767494740829786,False
2024-08-12,51.08344719524563,-0.9703890390980234,0.043701271923115126,-1.0140903110211386,6.448582660687344,215.9052934530262,False,True,73.58713052126616,64.4907782923483,1.0024829031188798,0.013549717815439956,False
2024-08-13,55.569999096489724,-0.46643341118698345,-0.05832566469890459,-0.40810774648807885,6.298713509982322,216.2200534157972,False,False,86.23687038437619,75.08033097412557,1.0034410522977233,0.015555435235611453,False
2024-08-14,56.09183829547586,-0.030461610272254802,-0.05275285381357464,0.02229124354131984,6.086140329575285,216.54347534134052,False,False,87.75892943981209,82.5276434484848,1.0032646591682282,0.01693875624900691,False
2024-08-15,59.50637367422052,0.5502492768506215,0.0678475723192646,0.48240170453135695,5.910132417047804,217.03915444608268,True,False,97.86992217770464,90.62190733396427,1.0024049917601725,0.012683994030405996,False
2024-08-16,60.95600921800577,1.1048160692067768,0.27524127169676704,0.8295747975100097,5.714624710064997,217.5884727958314,True,False,97.48846167456223,94.37243776402629,1.002583287974118,0.013134565148514564,False
2024-08-19,60.67459857319502,1.5139793961076862,0.5229888965789509,0.9909904995287353,5.520965808569225,218.09205107721172,True,False,96.97326036653176,97.44388140626619,1.0003886036123772,0.01299808384885378,False
2024-08-20,61.41788191654566,1.866645594661037,0.7917202361953681,1.0749253584656688,5.249198540646428,218.60305250721018,True,False,97.89785080148172,97.45319094752521,1.0002459423212045,0.012604952836819379,False
2024-08-21,61.19685276361638,2.112921987325109,1.0559605864213164,1.0569614009037924,5.083081371954843,219.07400405601416,True,False,95.09416759115868,96.65509291972403,0.9992159306907419,0.011966612352956568,False
2024-08-22,57.414573020375585,2.1329499451524043,1.2713584581675341,0.8615914869848702,5.036450709989491,219.39419258591852,True,False,88.30090917929351,93.76430919064461,0.9989188218501619,0.011033072225179102,False
